"schedtime","carrier","deptime","dest","distance","date","flightnumber","origin","weather","dayweek","daymonth","tailnu","delay","delay_cat","dep_hour"
640,"DH",645,"LGA",229,"38018",7790,"IAD",0,"Fri",2,"N686BR","ontime","On time",6
1039,"DH",1236,"LGA",229,"38018",7792,"IAD",0,"Fri",2,"N665BR","delayed","On time",12
840,"DH",859,"JFK",228,"38018",7800,"IAD",0,"Fri",2,"N645BR","ontime","On time",8
1240,"DH",1232,"JFK",228,"38018",7806,"IAD",0,"Fri",2,"N332UE","ontime","On time",12
1455,"DH",1455,"JFK",228,"38018",7808,"IAD",0,"Fri",2,"N324UE","ontime","On time",14
1645,"DH",1645,"JFK",228,"38018",7810,"IAD",0,"Fri",2,"N305UE","ontime","On time",16
1715,"DH",1716,"JFK",228,"38018",7812,"IAD",0,"Fri",2,"N322UE","ontime","On time",17
2120,"DH",2305,"JFK",228,"38018",7814,"IAD",0,"Fri",2,"N657BR","delayed","On time",23
1610,"DH",1605,"JFK",228,"38018",7816,"IAD",0,"Fri",2,"N315UE","ontime","On time",16
2120,"DH",2118,"LGA",229,"38018",7924,"IAD",0,"Fri",2,"N709BR","ontime","On time",21
1455,"DL",1458,"JFK",213,"38018",746,"DCA",0,"Fri",2,"N964DL","ontime","On time",14
930,"DL",930,"LGA",214,"38018",1746,"DCA",0,"Fri",2,"N241DL","ontime","On time",9
1230,"DL",1230,"LGA",214,"38018",1752,"DCA",0,"Fri",2,"N225DL","ontime","On time",12
1430,"DL",1427,"LGA",214,"38018",1756,"DCA",0,"Fri",2,"N241DL","ontime","On time",14
1730,"DL",1730,"LGA",214,"38018",1762,"DCA",0,"Fri",2,"N225DL","ontime","On time",17
2030,"DL",2028,"LGA",214,"38018",1768,"DCA",0,"Fri",2,"N241DL","ontime","On time",20
1530,"MQ",1522,"JFK",213,"38018",4752,"DCA",0,"Fri",2,"N720MQ","ontime","On time",15
600,"MQ",552,"JFK",213,"38018",4760,"DCA",0,"Fri",2,"N736MQ","ontime","On time",5
1830,"MQ",1847,"JFK",213,"38018",4784,"DCA",0,"Fri",2,"N727MQ","ontime","On time",18
900,"MQ",852,"LGA",214,"38018",4956,"DCA",0,"Fri",2,"N713MQ","ontime","On time",8
1100,"MQ",1053,"LGA",214,"38018",4960,"DCA",0,"Fri",2,"N708MQ","ontime","On time",10
1300,"MQ",1258,"LGA",214,"38018",4964,"DCA",0,"Fri",2,"N713MQ","ontime","On time",12
1400,"MQ",1402,"LGA",214,"38018",4966,"DCA",0,"Fri",2,"N718MQ","ontime","On time",14
1500,"MQ",1456,"LGA",214,"38018",4968,"DCA",0,"Fri",2,"N708MQ","ontime","On time",14
850,"UA",850,"LGA",229,"38018",846,"IAD",0,"Fri",2,"N556UA","ontime","On time",8
700,"US",657,"LGA",214,"38018",2160,"DCA",0,"Fri",2,"N710UW","ontime","On time",6
900,"US",857,"LGA",214,"38018",2164,"DCA",0,"Fri",2,"N736UW","ontime","On time",8
1100,"US",1058,"LGA",214,"38018",2168,"DCA",0,"Fri",2,"N710UW","ontime","On time",10
1300,"US",1258,"LGA",214,"38018",2172,"DCA",0,"Fri",2,"N736UW","ontime","On time",12
1500,"US",1458,"LGA",214,"38018",2176,"DCA",0,"Fri",2,"N710UW","ontime","On time",14
1700,"US",1655,"LGA",214,"38018",2180,"DCA",0,"Fri",2,"N736UW","ontime","On time",16
1900,"US",1855,"LGA",214,"38018",2184,"DCA",0,"Fri",2,"N710UW","ontime","On time",18
2100,"US",2056,"LGA",214,"38018",2188,"DCA",0,"Fri",2,"N736UW","ontime","On time",20
1720,"RU",1715,"EWR",169,"38018",2675,"BWI",0,"Fri",2,"N19966","ontime","On time",17
1030,"RU",1030,"EWR",169,"38018",2303,"BWI",0,"Fri",2,"N12540","ontime","On time",10
700,"RU",656,"EWR",169,"38018",2703,"BWI",0,"Fri",2,"N16961","ontime","On time",6
1455,"RU",1456,"EWR",169,"38018",2403,"BWI",0,"Fri",2,"N12946","ontime","On time",14
1730,"CO",1727,"EWR",199,"38018",814,"DCA",0,"Fri",2,"N14342","ontime","On time",17
1300,"CO",1301,"EWR",199,"38018",808,"DCA",0,"Fri",2,"N14664","ontime","On time",13
759,"CO",754,"EWR",199,"38018",806,"DCA",0,"Fri",2,"N11641","ontime","On time",7
840,"DH",837,"EWR",213,"38018",7299,"IAD",0,"Fri",2,"N679BR","ontime","On time",8
1245,"DH",1350,"EWR",213,"38018",7303,"IAD",0,"Fri",2,"N686BR","delayed","On time",13
1430,"DH",1512,"EWR",213,"38018",7307,"IAD",0,"Fri",2,"N309UE","delayed","On time",15
630,"DH",629,"EWR",213,"38018",7371,"IAD",0,"Fri",2,"N312UE","ontime","On time",6
1630,"RU",1625,"EWR",199,"38018",2181,"DCA",0,"Fri",2,"N14977","ontime","On time",16
700,"RU",655,"EWR",213,"38018",2855,"IAD",0,"Fri",2,"N13990","ontime","On time",6
900,"RU",858,"EWR",199,"38018",2582,"DCA",0,"Fri",2,"N14907","ontime","On time",8
700,"RU",657,"EWR",199,"38018",2761,"DCA",0,"Fri",2,"N13997","ontime","On time",6
1700,"RU",1650,"EWR",213,"38018",2497,"IAD",0,"Fri",2,"N12528","ontime","On time",16
1900,"RU",1856,"EWR",213,"38018",2385,"IAD",0,"Fri",2,"N11107","ontime","On time",18
1300,"RU",1253,"EWR",213,"38018",2692,"IAD",0,"Fri",2,"N14505","ontime","On time",12
900,"RU",854,"EWR",213,"38018",3276,"IAD",0,"Fri",2,"N16151","ontime","On time",8
1900,"RU",1858,"EWR",199,"38018",2336,"DCA",0,"Fri",2,"N15985","ontime","On time",18
2100,"RU",2050,"EWR",199,"38018",2879,"DCA",0,"Fri",2,"N17108","ontime","On time",20
1400,"RU",1358,"EWR",199,"38018",2216,"DCA",0,"Fri",2,"N13118","ontime","On time",13
1515,"RU",1510,"EWR",213,"38018",2156,"IAD",0,"Fri",2,"N11107","delayed","On time",15
1525,"RU",1519,"EWR",199,"38018",2261,"DCA",0,"Fri",2,"N15574","ontime","On time",15
1245,"DH",1243,"LGA",229,"38047",7208,"IAD",0,"Sat",3,"N688BR","ontime","On time",12
1715,"DH",1738,"LGA",229,"38047",7215,"IAD",0,"Sat",3,"N639BR","ontime","On time",17
640,"DH",640,"LGA",229,"38047",7790,"IAD",0,"Sat",3,"N696BR","ontime","On time",6
1039,"DH",1030,"LGA",229,"38047",7792,"IAD",0,"Sat",3,"N696BR","ontime","On time",10
840,"DH",855,"JFK",228,"38047",7800,"IAD",0,"Sat",3,"N709BR","ontime","On time",8
1240,"DH",1237,"JFK",228,"38047",7806,"IAD",0,"Sat",3,"N327UE","ontime","On time",12
1455,"DH",1455,"JFK",228,"38047",7808,"IAD",0,"Sat",3,"N309UE","ontime","On time",14
1645,"DH",1654,"JFK",228,"38047",7810,"IAD",0,"Sat",3,"N311UE","ontime","On time",16
1715,"DH",1741,"JFK",228,"38047",7812,"IAD",0,"Sat",3,"N327UE","ontime","On time",17
2120,"DH",2213,"JFK",228,"38047",7814,"IAD",0,"Sat",3,"N655BR","delayed","On time",22
1610,"DH",1604,"JFK",228,"38047",7816,"IAD",0,"Sat",3,"N329UE","ontime","On time",16
2120,"DH",2138,"LGA",229,"38047",7924,"IAD",0,"Sat",3,"N688BR","ontime","On time",21
1455,"DL",1505,"JFK",213,"38047",746,"DCA",0,"Sat",3,"N997DL","delayed","On time",15
830,"DL",828,"LGA",214,"38047",1744,"DCA",0,"Sat",3,"N225DL","ontime","On time",8
1030,"DL",1030,"LGA",214,"38047",1748,"DCA",0,"Sat",3,"N242DL","ontime","On time",10
1230,"DL",1230,"LGA",214,"38047",1752,"DCA",0,"Sat",3,"N225DL","ontime","On time",12
1430,"DL",1428,"LGA",214,"38047",1756,"DCA",0,"Sat",3,"N242DL","ontime","On time",14
1630,"DL",1629,"LGA",214,"38047",1760,"DCA",0,"Sat",3,"N225DL","ontime","On time",16
1830,"DL",1829,"LGA",214,"38047",1764,"DCA",0,"Sat",3,"N242DL","ontime","On time",18
2030,"DL",2024,"LGA",214,"38047",1768,"DCA",0,"Sat",3,"N225DL","ontime","On time",20
1530,"MQ",1600,"JFK",213,"38047",4752,"DCA",0,"Sat",3,"N734MQ","delayed","On time",16
600,"MQ",555,"JFK",213,"38047",4760,"DCA",0,"Sat",3,"N712MQ","ontime","On time",5
1830,"MQ",1829,"JFK",213,"38047",4784,"DCA",0,"Sat",3,"N709MQ","ontime","On time",18
900,"MQ",855,"LGA",214,"38047",4956,"DCA",0,"Sat",3,"N739MQ","ontime","On time",8
1300,"MQ",1254,"LGA",214,"38047",4964,"DCA",0,"Sat",3,"N739MQ","ontime","On time",12
850,"UA",849,"LGA",229,"38047",846,"IAD",0,"Sat",3,"N567UA","ontime","On time",8
700,"US",655,"LGA",214,"38047",2160,"DCA",0,"Sat",3,"N760UW","ontime","On time",6
900,"US",858,"LGA",214,"38047",2164,"DCA",0,"Sat",3,"N710UW","ontime","On time",8
1100,"US",1059,"LGA",214,"38047",2168,"DCA",0,"Sat",3,"N760UW","ontime","On time",10
1300,"US",1256,"LGA",214,"38047",2172,"DCA",0,"Sat",3,"N710UW","ontime","On time",12
1500,"US",1500,"LGA",214,"38047",2176,"DCA",0,"Sat",3,"N760UW","ontime","On time",15
1700,"US",1658,"LGA",214,"38047",2180,"DCA",0,"Sat",3,"N710UW","ontime","On time",16
1900,"US",1857,"LGA",214,"38047",2184,"DCA",0,"Sat",3,"N760UW","ontime","On time",18
1720,"RU",1714,"EWR",169,"38047",2675,"BWI",0,"Sat",3,"N15574","ontime","On time",17
700,"RU",655,"EWR",169,"38047",2703,"BWI",0,"Sat",3,"N11536","ontime","On time",6
1030,"RU",1026,"EWR",169,"38047",2303,"BWI",0,"Sat",3,"N14907","ontime","On time",10
1455,"RU",1448,"EWR",169,"38047",2267,"BWI",0,"Sat",3,"N14974","ontime","On time",14
1300,"CO",1255,"EWR",199,"38047",808,"DCA",0,"Sat",3,"N11612","ontime","On time",12
840,"DH",857,"EWR",213,"38047",7299,"IAD",0,"Sat",3,"N693BR","delayed","On time",8
1710,"DH",1705,"EWR",213,"38047",7302,"IAD",0,"Sat",3,"N693BR","ontime","On time",17
1245,"DH",1329,"EWR",213,"38047",7303,"IAD",0,"Sat",3,"N672BR","delayed","On time",13
2120,"DH",2126,"EWR",213,"38047",7304,"IAD",0,"Sat",3,"N643BR","ontime","On time",21
630,"DH",625,"EWR",213,"38047",7371,"IAD",0,"Sat",3,"N333UE","ontime","On time",6
1725,"RU",1722,"EWR",213,"38047",2497,"IAD",0,"Sat",3,"N17146","ontime","On time",17
1400,"RU",1356,"EWR",199,"38047",2216,"DCA",0,"Sat",3,"N17513","ontime","On time",13
700,"RU",658,"EWR",213,"38047",2855,"IAD",0,"Sat",3,"N14925","ontime","On time",6
930,"RU",941,"EWR",199,"38047",2582,"DCA",0,"Sat",3,"N14977","ontime","On time",9
1730,"RU",1738,"EWR",199,"38047",2097,"DCA",0,"Sat",3,"N14998","ontime","On time",17
1600,"RU",1556,"EWR",199,"38047",2181,"DCA",0,"Sat",3,"N13955","ontime","On time",15
1515,"RU",1511,"EWR",213,"38047",2156,"IAD",0,"Sat",3,"N12136","ontime","On time",15
700,"RU",703,"EWR",199,"38047",2761,"DCA",0,"Sat",3,"N14907","ontime","On time",7
1455,"OH",1605,"JFK",184,"38078",5935,"BWI",0,"Sun",4,"N973CA","delayed","On time",16
1640,"DH",1644,"JFK",213,"38078",6155,"DCA",0,"Sun",4,"N424FJ","ontime","On time",16
1245,"DH",1249,"LGA",229,"38078",7208,"IAD",0,"Sun",4,"N632BR","ontime","On time",12
1455,"DH",1535,"LGA",229,"38078",7211,"IAD",0,"Sun",4,"N654BR","delayed","On time",15
1715,"DH",1837,"LGA",229,"38078",7215,"IAD",0,"Sun",4,"N634BR","delayed","On time",18
640,"DH",640,"LGA",229,"38078",7790,"IAD",0,"Sun",4,"N654BR","ontime","On time",6
1039,"DH",1032,"LGA",229,"38078",7792,"IAD",0,"Sun",4,"N654BR","ontime","On time",10
840,"DH",900,"JFK",228,"38078",7800,"IAD",0,"Sun",4,"N673BR","ontime","On time",9
1240,"DH",1243,"JFK",228,"38078",7806,"IAD",0,"Sun",4,"N330UE","ontime","On time",12
1455,"DH",1504,"JFK",228,"38078",7808,"IAD",0,"Sun",4,"N314UE","ontime","On time",15
1645,"DH",1642,"JFK",228,"38078",7810,"IAD",0,"Sun",4,"N313UE","ontime","On time",16
1715,"DH",1709,"JFK",228,"38078",7812,"IAD",0,"Sun",4,"N312UE","ontime","On time",17
2120,"DH",2120,"JFK",228,"38078",7814,"IAD",0,"Sun",4,"N626BR","ontime","On time",21
1610,"DH",1607,"JFK",228,"38078",7816,"IAD",0,"Sun",4,"N327UE","ontime","On time",16
2120,"DH",2116,"LGA",229,"38078",7924,"IAD",0,"Sun",4,"N674BR","ontime","On time",21
1455,"DL",1500,"JFK",213,"38078",746,"DCA",0,"Sun",4,"N912DL","ontime","On time",15
830,"DL",828,"LGA",214,"38078",1744,"DCA",0,"Sun",4,"N242DL","ontime","On time",8
1030,"DL",1028,"LGA",214,"38078",1748,"DCA",0,"Sun",4,"N221DL","ontime","On time",10
1230,"DL",1230,"LGA",214,"38078",1752,"DCA",0,"Sun",4,"N242DL","ontime","On time",12
1430,"DL",1432,"LGA",214,"38078",1756,"DCA",0,"Sun",4,"N221DL","ontime","On time",14
1630,"DL",1629,"LGA",214,"38078",1760,"DCA",0,"Sun",4,"N242DL","ontime","On time",16
1830,"DL",1832,"LGA",214,"38078",1764,"DCA",0,"Sun",4,"N221DL","ontime","On time",18
2030,"DL",2030,"LGA",214,"38078",1768,"DCA",0,"Sun",4,"N242DL","ontime","On time",20
1530,"MQ",1534,"JFK",213,"38078",4752,"DCA",0,"Sun",4,"N712MQ","delayed","On time",15
600,"MQ",554,"JFK",213,"38078",4760,"DCA",0,"Sun",4,"N737MQ","ontime","On time",5
730,"MQ",745,"JFK",213,"38078",4771,"DCA",0,"Sun",4,"N719MQ","ontime","On time",7
1830,"MQ",1858,"JFK",213,"38078",4784,"DCA",0,"Sun",4,"N727MQ","delayed","On time",18
1300,"MQ",1257,"LGA",214,"38078",4964,"DCA",0,"Sun",4,"N737MQ","ontime","On time",12
1500,"MQ",1458,"LGA",214,"38078",4968,"DCA",0,"Sun",4,"N727MQ","delayed","On time",14
1700,"MQ",1659,"LGA",214,"38078",4972,"DCA",0,"Sun",4,"N708MQ","ontime","On time",16
1900,"MQ",1936,"LGA",214,"38078",4976,"DCA",0,"Sun",4,"N719MQ","delayed","On time",19
850,"UA",849,"LGA",229,"38078",846,"IAD",0,"Sun",4,"N559UA","ontime","On time",8
900,"US",858,"LGA",214,"38078",2164,"DCA",0,"Sun",4,"N730UW","ontime","On time",8
1000,"US",954,"LGA",214,"38078",2166,"DCA",0,"Sun",4,"N765UW","ontime","On time",9
1100,"US",1055,"LGA",214,"38078",2168,"DCA",0,"Sun",4,"N746UW","ontime","On time",10
1200,"US",1158,"LGA",214,"38078",2170,"DCA",0,"Sun",4,"N711UW","ontime","On time",11
1300,"US",1257,"LGA",214,"38078",2172,"DCA",0,"Sun",4,"N730UW","ontime","On time",12
1400,"US",1359,"LGA",214,"38078",2174,"DCA",0,"Sun",4,"N765UW","ontime","On time",13
1500,"US",1456,"LGA",214,"38078",2176,"DCA",0,"Sun",4,"N746UW","ontime","On time",14
1600,"US",1559,"LGA",214,"38078",2178,"DCA",0,"Sun",4,"N711UW","ontime","On time",15
1700,"US",1658,"LGA",214,"38078",2180,"DCA",0,"Sun",4,"N730UW","ontime","On time",16
1800,"US",1758,"LGA",214,"38078",2182,"DCA",0,"Sun",4,"N765UW","ontime","On time",17
1900,"US",1857,"LGA",214,"38078",2184,"DCA",0,"Sun",4,"N746UW","ontime","On time",18
2000,"US",1957,"LGA",214,"38078",2186,"DCA",0,"Sun",4,"N711UW","ontime","On time",19
2100,"US",2059,"LGA",214,"38078",2188,"DCA",0,"Sun",4,"N730UW","ontime","On time",20
1455,"RU",1615,"EWR",169,"38078",2403,"BWI",0,"Sun",4,"N14943","delayed","On time",16
1315,"RU",1416,"EWR",169,"38078",2703,"BWI",0,"Sun",4,"N13949","delayed","On time",14
1605,"RU",2030,"EWR",169,"38078",2603,"BWI",0,"Sun",4,"N14933","delayed","On time",20
1030,"RU",1235,"EWR",169,"38078",2303,"BWI",0,"Sun",4,"N19966","delayed","On time",12
1300,"CO",1255,"EWR",199,"38078",808,"DCA",0,"Sun",4,"N59630","ontime","On time",12
1630,"CO",1833,"EWR",199,"38078",810,"DCA",0,"Sun",4,"N16649","delayed","On time",18
840,"DH",857,"EWR",213,"38078",7299,"IAD",0,"Sun",4,"N640BR","ontime","On time",8
1710,"DH",1917,"EWR",213,"38078",7302,"IAD",0,"Sun",4,"N697BR","delayed","On time",19
1245,"DH",1310,"EWR",213,"38078",7303,"IAD",0,"Sun",4,"N638BR","delayed","On time",13
2120,"DH",2221,"EWR",213,"38078",7304,"IAD",0,"Sun",4,"N697BR","delayed","On time",22
1430,"DH",1600,"EWR",213,"38078",7307,"IAD",0,"Sun",4,"N328UE","delayed","On time",16
1730,"RU",1952,"EWR",199,"38078",2097,"DCA",0,"Sun",4,"N12136","delayed","On time",19
930,"RU",927,"EWR",199,"38078",2582,"DCA",0,"Sun",4,"N13992","ontime","On time",9
900,"RU",858,"EWR",213,"38078",3276,"IAD",0,"Sun",4,"N15985","ontime","On time",8
1900,"RU",2110,"EWR",213,"38078",2385,"IAD",0,"Sun",4,"N24128","delayed","On time",21
1400,"RU",1356,"EWR",199,"38078",2216,"DCA",0,"Sun",4,"N16987","delayed","On time",13
1900,"RU",2120,"EWR",199,"38078",2336,"DCA",0,"Sun",4,"N12569","delayed","On time",21
1515,"RU",1557,"EWR",213,"38078",2156,"IAD",0,"Sun",4,"N18101","delayed","On time",15
1455,"OH",1610,"JFK",184,"38108",5935,"BWI",0,"Mon",5,"N814CA","delayed","On time",16
1640,"DH",1638,"JFK",213,"38108",6155,"DCA",0,"Mon",5,"N424FJ","delayed","On time",16
1245,"DH",1338,"LGA",229,"38108",7208,"IAD",0,"Mon",5,"N674BR","delayed","On time",13
1455,"DH",1606,"LGA",229,"38108",7211,"IAD",0,"Mon",5,"N643BR","delayed","On time",16
1715,"DH",1848,"LGA",229,"38108",7215,"IAD",0,"Mon",5,"N649BR","delayed","On time",18
640,"DH",633,"LGA",229,"38108",7790,"IAD",0,"Mon",5,"N643BR","delayed","On time",6
1039,"DH",1054,"LGA",229,"38108",7792,"IAD",0,"Mon",5,"N643BR","ontime","On time",10
840,"DH",946,"JFK",228,"38108",7800,"IAD",0,"Mon",5,"N651BR","delayed","On time",9
1240,"DH",1312,"JFK",228,"38108",7806,"IAD",0,"Mon",5,"N305UE","delayed","On time",13
1645,"DH",1700,"JFK",228,"38108",7810,"IAD",0,"Mon",5,"N331UE","ontime","On time",17
1715,"DH",1709,"JFK",228,"38108",7812,"IAD",0,"Mon",5,"N332UE","ontime","On time",17
2120,"DH",2200,"JFK",228,"38108",7814,"IAD",0,"Mon",5,"N683BR","delayed","On time",22
1610,"DH",1651,"JFK",228,"38108",7816,"IAD",0,"Mon",5,"N303UE","delayed","On time",16
2120,"DH",2125,"LGA",229,"38108",7924,"IAD",0,"Mon",5,"N699BR","ontime","On time",21
1455,"DL",1459,"JFK",213,"38108",746,"DCA",0,"Mon",5,"N994DL","ontime","On time",14
630,"DL",630,"LGA",214,"38108",1740,"DCA",0,"Mon",5,"N221DL","ontime","On time",6
730,"DL",734,"LGA",214,"38108",1742,"DCA",0,"Mon",5,"N241DL","ontime","On time",7
830,"DL",830,"LGA",214,"38108",1744,"DCA",0,"Mon",5,"N242DL","ontime","On time",8
930,"DL",932,"LGA",214,"38108",1746,"DCA",0,"Mon",5,"N225DL","ontime","On time",9
1030,"DL",1031,"LGA",214,"38108",1748,"DCA",0,"Mon",5,"N223DZ","ontime","On time",10
1130,"DL",1128,"LGA",214,"38108",1750,"DCA",0,"Mon",5,"N241DL","ontime","On time",11
1230,"DL",1230,"LGA",214,"38108",1752,"DCA",0,"Mon",5,"N242DL","ontime","On time",12
1330,"DL",1329,"LGA",214,"38108",1754,"DCA",0,"Mon",5,"N225DL","ontime","On time",13
1430,"DL",1427,"LGA",214,"38108",1756,"DCA",0,"Mon",5,"N223DZ","ontime","On time",14
1630,"DL",1635,"LGA",214,"38108",1760,"DCA",0,"Mon",5,"N242DL","ontime","On time",16
1730,"DL",1730,"LGA",214,"38108",1762,"DCA",0,"Mon",5,"N225DL","ontime","On time",17
1830,"DL",1829,"LGA",214,"38108",1764,"DCA",0,"Mon",5,"N223DZ","ontime","On time",18
1930,"DL",1955,"LGA",214,"38108",1766,"DCA",0,"Mon",5,"N241DL","delayed","On time",19
2030,"DL",2028,"LGA",214,"38108",1768,"DCA",0,"Mon",5,"N242DL","ontime","On time",20
1530,"MQ",1538,"JFK",213,"38108",4752,"DCA",0,"Mon",5,"N704MQ","ontime","On time",15
600,"MQ",557,"JFK",213,"38108",4760,"DCA",0,"Mon",5,"N707MQ","ontime","On time",5
700,"MQ",656,"LGA",214,"38108",4952,"DCA",0,"Mon",5,"N712MQ","ontime","On time",6
800,"MQ",758,"LGA",214,"38108",4954,"DCA",0,"Mon",5,"N724MQ","ontime","On time",7
900,"MQ",859,"LGA",214,"38108",4956,"DCA",0,"Mon",5,"N719MQ","ontime","On time",8
1100,"MQ",1103,"LGA",214,"38108",4960,"DCA",0,"Mon",5,"N706MQ","ontime","On time",11
1300,"MQ",1250,"LGA",214,"38108",4964,"DCA",0,"Mon",5,"N716MQ","ontime","On time",12
1600,"MQ",1627,"LGA",214,"38108",4970,"DCA",0,"Mon",5,"N700MQ","delayed","On time",16
1700,"MQ",1702,"LGA",214,"38108",4972,"DCA",0,"Mon",5,"N724MQ","ontime","On time",17
